Job Title,Company Name,Company Location,Job Time,Job Location,Posting Date,Requirement,Job URL,Speciality,skills,skills_text,cleaned_skills,cleaned_skills_v2,cleaned_skills_text_v2
Product Manager,Confidential ,"Cairo, Egypt",Full Time,Remote,18 hours ago,Experienced · 2 - 20 Yrs of Exp · IT/Software Development · Sales/Retail · Product Management · Roadmap Planning · Market Research · Cross-functional Collaboration · Data Analysis · User Experience (UX) · Strategic Thinking · Communication,https://wuzzuf.net/jobs/p/aga7jyu7aylw-product-manager-cairo-egypt,Data Analysis,"['experienced', 'it/software development', 'sales/retail', 'product management', 'roadmap planning', 'market research', 'cross-functional collaboration', 'data analysis', 'user experience (ux)', 'strategic thinking', 'communication']",experienced it/software development sales/retail product management roadmap planning market research cross-functional collaboration data analysis user experience (ux) strategic thinking communication,it/software development product management roadmap planning market research crossfunctional collaboration data analysis user experience ux strategic thinking communication,"['product management', 'roadmap planning', 'market research', 'cross-functional collaboration', 'data analysis', 'user experience (ux)', 'strategic thinking', 'communication']",product management roadmap planning market research cross-functional collaboration data analysis user experience (ux) strategic thinking communication
Security Surveillance Systems Supervisor,British University of Egypt ,"Shorouk City, Cairo, Egypt",Full Time,On-site,19 hours ago,Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Operations/Management · CCTV Operations · Security Surveillance Systems Management · Access Control Systems · Technical Troubleshooting · Attention to Detail · Communicatio,https://wuzzuf.net/jobs/p/lx5uq1npmysk-security-surveillance-systems-supervisor-british-university-of-egypt-cairo-egypt,Backend,"['experienced', 'it/software development', 'cctv operations', 'security surveillance systems management', 'access control systems', 'technical troubleshooting', 'attention to detail', 'communication']",experienced it/software development cctv operations security surveillance systems management access control systems technical troubleshooting attention to detail communication,it/software development cctv operations security surveillance systems management access control technical troubleshooting attention to detail communication,"['cctv operations', 'security surveillance systems management', 'access control systems', 'technical troubleshooting', 'attention to detail', 'communication']",cctv operations security surveillance systems management access control systems technical troubleshooting attention to detail communication
Sales Coordinator,Sadeem Knowledge ,"Mohandessin, Giza, Egypt",Full Time,On-site,20 hours ago,Experienced · 2+ Yrs of Exp · females_only · IT/Software Development · Sales/Retail · Administrative Support · Sales Coordination · Customer Relationship Management (CRM) · Microsoft Offic,https://wuzzuf.net/jobs/p/xkg4mnl44yds-sales-coordinator-sadeem-knowledge-giza-egypt,Full Stack,"['experienced', 'it/software development', 'sales/retail', 'administrative support', 'sales coordination', 'customer relationship management (crm)', 'microsoft office']",experienced it/software development sales/retail administrative support sales coordination customer relationship management (crm) microsoft office,it/software development administrative support sales coordination customer relationship management crm microsoft office,"['administrative support', 'sales coordination', 'customer relationship management (crm)', 'microsoft office']",administrative support sales coordination customer relationship management (crm) microsoft office
React.js /Next.js - internship - Remotely - For Fresh Graduates,Alexandria For Programming ,"Bolkly, Alexandria, Egypt",Internship,Remote,20 hours ago,Entry Level · IT/Software Development · next14 · React.js · Front-End Devel,https://wuzzuf.net/internship/c0unymwxajcz-reactjs-nextjs-internship-remotely-for-fresh-graduates-alexandria-for-programming-alexandria-egypt,Frontend,"['entry level', 'it/software development', 'next14', 'react.js', 'frontend development']",entry level it/software development next14 react.js frontend development,entry level it/software development next14 react.js frontend,"['next14', 'react.js', 'frontend development']",next14 react.js frontend development
IT Manager,Confidential ,"Ameria, Alexandria, Egypt",Full Time,On-site,20 hours ago,Manager · 10 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Microsoft Certified IT Professional · Software Development · CAD Software · Software Engineering · AutoCAD Software · ERP Software · CRM Softwar,https://wuzzuf.net/jobs/p/ixqt4rtkr8zx-it-manager-alexandria-egypt,Full Stack,"['manager', 'it/software development', 'microsoft certified it professional', 'cad software', 'autocad software', 'erp software', 'crm software']",manager it/software development microsoft certified it professional cad software autocad software erp software crm software,it/software development microsoft certified professional cad autocad erp crm,"['microsoft certified it professional', 'cad software', 'autocad software', 'erp software', 'crm software']",microsoft certified it professional cad software autocad software erp software crm software
Asp.net core - internship - Remotely,Alexandria For Programming ,"Bolkly, Alexandria, Egypt",Internship,Remote,21 hours ago,Entry Level · IT/Software Development · aps.net · .net core · asp · apis · Back-End Devel,https://wuzzuf.net/internship/bx13ykpvx5vj-aspnet-core-internship-remotely-alexandria-for-programming-alexandria-egypt,Backend,"['entry level', 'it/software development', 'aps.net', '.net core', 'asp', 'apis', 'backend development']",entry level it/software development aps.net .net core asp apis backend development,entry level it/software development aps.net .net core asp apis backend,"['aps.net', '.net core', 'asp', 'apis', 'backend development']",aps.net .net core asp apis backend development
Flutter Mobile Developer - internship - remote,Alexandria For Programming ,"Bolkly, Alexandria, Egypt",Internship,Remote,21 hours ago,Entry Level · IT/Software Development · Engineering - Telecom/Technology · flutter · Dart Programming · mobile developer · ios · android,https://wuzzuf.net/internship/lu82fhwn1gse-flutter-mobile-developer-internship-remote-alexandria-for-programming-alexandria-egypt,Mobile,"['entry level', 'it/software development', 'flutter', 'dart programming', 'mobile developer', 'ios', 'android']",entry level it/software development flutter dart programming mobile developer ios android,entry level it/software development flutter dart programming mobile developer ios android,"['flutter', 'dart programming', 'mobile developer', 'ios', 'android']",flutter dart programming mobile developer ios android
Senior Retail Functional Consultant – D365 Commerce (Retail & POS),Circle K ,"Sheraton, Cairo, Egypt",Full Time,On-site,22 hours ago,Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Retail POS Systems · Microsoft Dynamics 365 Commerce · System Configuration & Customization · User Training & Documentation · Omnichannel Retail Strategies · Data Migration · Project Management · Stakeholder Management · Business Process Analy,https://wuzzuf.net/jobs/p/06bdiyprofbw-senior-retail-functional-consultant-d365-commerce-retail-pos-circle-k-cairo-egypt,Backend,"['experienced', 'it/software development', 'retail pos systems', 'microsoft dynamics 365 commerce', 'system configuration  customization', 'user training  documentation', 'omnichannel retail strategies', 'data migration', 'project management', 'stakeholder management', 'business process analysis']",experienced it/software development retail pos systems microsoft dynamics 365 commerce system configuration  customization user training  documentation omnichannel retail strategies data migration project management stakeholder management business process analysis,it/software development retail pos systems microsoft dynamics 365 commerce system configuration customization user training documentation omnichannel strategies data migration project management stakeholder business process analysis,"['retail pos systems', 'microsoft dynamics 365 commerce', 'system configuration  customization', 'user training  documentation', 'omnichannel retail strategies', 'data migration', 'project management', 'stakeholder management', 'business process analysis']",retail pos systems microsoft dynamics 365 commerce system configuration  customization user training  documentation omnichannel retail strategies data migration project management stakeholder management business process analysis
AI Engineer,Print Hub  ,"Mohandessin, Giza, Egypt",Full Time,On-site,22 hours ago,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Python Programming · Data Analysis · PyTorch · Data Preprocessing · Problem Solving · Artificial Intelligence · TensorFlow · Algorithm Development · Deep Learning,https://wuzzuf.net/jobs/p/e8vni2ib09uz-ai-engineer-print-hub-giza-egypt,Artificial Intelligence,"['experienced', 'it/software development', 'python programming', 'data analysis', 'pytorch', 'data preprocessing', 'problem solving', 'artificial intelligence', 'tensorflow', 'algorithm development', 'deep learning']",experienced it/software development python programming data analysis pytorch data preprocessing problem solving artificial intelligence tensorflow algorithm development deep learning,it/software development python programming data analysis pytorch preprocessing problem solving artificial intelligence tensorflow algorithm deep learning,"['python programming', 'data analysis', 'pytorch', 'data preprocessing', 'problem solving', 'artificial intelligence', 'tensorflow', 'algorithm development', 'deep learning']",python programming data analysis pytorch data preprocessing problem solving artificial intelligence tensorflow algorithm development deep learning
Head of IT Cyber Security,MSC – MEDITERRANEAN SHIPPING AGENCY EGY ,"Azarita, Alexandria, Egypt",Full Time,On-site,23 hours ago,Experienced · 8 - 11 Yrs of Exp · IT/Software Development · Cybersecurity Leadership · Risk Manag,https://wuzzuf.net/jobs/p/l9vypeedm5bi-head-of-it-cyber-security-msc-mediterranean-shipping-agency-egy-alexandria-egypt,Cyber Security,"['experienced', 'it/software development', 'cybersecurity leadership', 'risk manag']",experienced it/software development cybersecurity leadership risk manag,it/software development cybersecurity leadership risk manag,"['cybersecurity leadership', 'risk manag']",cybersecurity leadership risk manag
Technical Support Specialist,ActiveX ,"New Cairo, Cairo, Egypt",Full Time,On-site,23 hours ago,Experienced · 2+ Yrs of Exp · Customer Service/Support · IT/Software Development · Well spoken · SQL · Computer Science · Information Technology (IT) · Technical Support · Software Development · Software Engineering · Customer servic,https://wuzzuf.net/jobs/p/yh0jhbihgint-technical-support-specialist-activex-cairo-egypt,Software Engineer,"['experienced', 'customer service/support', 'it/software development', 'well spoken', 'sql', 'computer science', 'technical support', 'customer servic']",experienced customer service/support it/software development well spoken sql computer science technical support customer servic,customer service/support it/software development well spoken sql computer science technical support servic,"['well spoken', 'sql', 'computer science', 'technical support', 'customer servic']",well spoken sql computer science technical support customer servic
Senior UI/UX Designer,Softxpert Incorporation  ,"Bolkly, Alexandria, Egypt",Full Time,Hybrid,24 hours ago,Experienced · 4+ Yrs of Exp · Creative/Design/Art · IT/Software Development · UI Design · UX Design · Wireframing · Prototyping · User Research · Usability Testing · Interaction Design · Visual Design,https://wuzzuf.net/jobs/p/q1skll82vfy3-senior-uiux-designer-softxpert-incorporation-alexandria-egypt,UI/UX,"['experienced', 'creative/design/art', 'it/software development', 'ui design', 'ux design', 'wireframing', 'prototyping', 'user research', 'usability testing', 'interaction design', 'visual design']",experienced creative/design/art it/software development ui design ux design wireframing prototyping user research usability testing interaction design visual design,creative/design/art it/software development ui design ux wireframing prototyping user research usability testing interaction visual,"['creative/design/art', 'ui design', 'ux design', 'wireframing', 'prototyping', 'user research', 'usability testing', 'interaction design', 'visual design']",creative/design/art ui design ux design wireframing prototyping user research usability testing interaction design visual design
Oracle Fusion Financial Consultant,Kgroup ,"Sheraton, Cairo, Egypt",Full Time,On-site,24 hours ago,Experienced · 1 - 5 Yrs of Exp · males_only · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Oracle · ERP · ERP System · Finance · Financial Accounting · Operations Management · ERP Solutio,https://wuzzuf.net/jobs/p/aii2c5utvrzd-oracle-fusion-financial-consultant-kgroup-cairo-egypt,Backend,"['experienced', 'accounting/finance', 'it/software development', 'oracle', 'erp', 'erp system', 'finance', 'financial accounting', 'operations management', 'erp solutio']",experienced accounting/finance it/software development oracle erp erp system finance financial accounting operations management erp solutio,accounting/finance it/software development oracle erp system finance financial accounting operations management solutio,"['accounting/finance', 'oracle', 'erp', 'erp system', 'finance', 'financial accounting', 'operations management', 'erp solutio']",accounting/finance oracle erp erp system finance financial accounting operations management erp solutio
Senior ERP Technical Developer – Dynamics 365 F&O,Circle K ,"Sheraton, Cairo, Egypt",Full Time,On-site,1 day ago,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ERP · Software Development · ERP Development · Microsoft Dynamics 365 · .NET Framework · Technical Documentation · System Integration · JavaScrip,https://wuzzuf.net/jobs/p/xjabkr2ppycp-senior-erp-technical-developer-dynamics-365-fo-circle-k-cairo-egypt,Full Stack,"['experienced', 'it/software development', 'erp', 'erp development', 'microsoft dynamics 365', '.net framework', 'technical documentation', 'system integration', 'javascrip']",experienced it/software development erp erp development microsoft dynamics 365 .net framework technical documentation system integration javascrip,it/software development erp microsoft dynamics 365 .net framework technical documentation system integration javascrip,"['erp', 'erp development', 'microsoft dynamics 365', '.net framework', 'technical documentation', 'system integration', 'javascrip']",erp erp development microsoft dynamics 365 .net framework technical documentation system integration javascrip
Retail POS Technical Developer,Circle K ,"Sheraton, Cairo, Egypt",Full Time,On-site,1 day ago,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Microsoft Dynamics · Dynamics AX · Typescript · PostgreSQL · POS · POS System Develop,https://wuzzuf.net/jobs/p/piklmlqy3rhy-retail-pos-technical-developer-circle-k-cairo-egypt,Full Stack,"['experienced', 'it/software development', 'computer science', 'microsoft dynamics', 'dynamics ax', 'typescript', 'postgresql', 'pos', 'pos system develop']",experienced it/software development computer science microsoft dynamics dynamics ax typescript postgresql pos pos system develop,it/software development computer science microsoft dynamics ax typescript postgresql pos system develop,"['computer science', 'microsoft dynamics', 'dynamics ax', 'typescript', 'postgresql', 'pos', 'pos system develop']",computer science microsoft dynamics dynamics ax typescript postgresql pos pos system develop
UI Developer,egabi solutions ,"Sheraton, Cairo, Egypt",Full Time,Remote,1 day ago,Experienced · 4 - 7 Yrs of Exp · Creative/Design/Art · IT/Software Development · UI Design · UI · Design · Figma · Adobe XD · Sketch · Adobe Photoshop · Illustrator,https://wuzzuf.net/jobs/p/sbro3vy3pvi7-ui-developer-egabi-solutions-cairo-egypt,UI/UX,"['experienced', 'creative/design/art', 'it/software development', 'ui design', 'ui', 'design', 'figma', 'adobe xd', 'sketch', 'adobe photoshop', 'illustrator']",experienced creative/design/art it/software development ui design ui design figma adobe xd sketch adobe photoshop illustrator,creative/design/art it/software development ui design figma adobe xd sketch photoshop illustrator,"['creative/design/art', 'ui design', 'ui', 'design', 'figma', 'adobe xd', 'sketch', 'adobe photoshop', 'illustrator']",creative/design/art ui design ui design figma adobe xd sketch adobe photoshop illustrator
Dynamics 365 Consultant,El Mansour Development  ,"Mokattam, Cairo, Egypt",Full Time,On-site,1 day ago,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Microsoft Dynamics 365 · System Implementation · Business Analysis · Process Optimization · Communication · Multitasking,https://wuzzuf.net/jobs/p/qcpntihvzgfe-dynamics-365-consultant-el-mansour-development-cairo-egypt,Backend,"['experienced', 'it/software development', 'microsoft dynamics 365', 'system implementation', 'business analysis', 'process optimization', 'communication', 'multitasking']",experienced it/software development microsoft dynamics 365 system implementation business analysis process optimization communication multitasking,it/software development microsoft dynamics 365 system implementation business analysis process optimization communication multitasking,"['microsoft dynamics 365', 'system implementation', 'business analysis', 'process optimization', 'communication', 'multitasking']",microsoft dynamics 365 system implementation business analysis process optimization communication multitasking
Full Stack Web Developer,Nile Creations ,"Heliopolis, Cairo, Egypt",Full Time,On-site,1 day ago,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · MySQL · WordPress · Web Development · Plugins · AJAX · HTML5 · CSS3,https://wuzzuf.net/jobs/p/tqz6w9ywtnnp-full-stack-web-developer-nile-creations-cairo-egypt,Full Stack,"['experienced', 'it/software development', 'php', 'mysql', 'wordpress', 'web development', 'plugins', 'ajax', 'html5', 'css3']",experienced it/software development php mysql wordpress web development plugins ajax html5 css3,it/software development php mysql wordpress web plugins ajax html5 css3,"['php', 'mysql', 'wordpress', 'web development', 'plugins', 'ajax', 'html5', 'css3']",php mysql wordpress web development plugins ajax html5 css3
Odoo Developer,Nowat ,"Cairo, Egypt",Freelance / Project,Remote,1 day ago,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Odoo · Odoo Development · ERP Implementation · Pyth,https://wuzzuf.net/jobs/p/4qnyqs8i4zmh-odoo-developer-nowat-cairo-egypt,Backend,"['entry level', 'it/software development', 'education/teaching', 'odoo', 'odoo development', 'erp implementation', 'pyth']",entry level it/software development education/teaching odoo odoo development erp implementation pyth,entry level it/software development education/teaching odoo erp implementation pyth,"['education/teaching', 'odoo', 'odoo development', 'erp implementation', 'pyth']",education/teaching odoo odoo development erp implementation pyth
IT Supervisor,Confidential ,"Alexandria, Egypt",Full Time,On-site,1 day ago,Manager · 6 - 8 Yrs of Exp · IT/Software Development · IT Operations Management · Team Leadership · Network Administration · IT Security · Information Technology (IT) · Communication · Negotiation · Multitasking,https://wuzzuf.net/jobs/p/ndbjyawv3jva-it-supervisor-alexandria-egypt,Backend,"['manager', 'it/software development', 'it operations management', 'team leadership', 'network administration', 'it security', 'communication', 'negotiation', 'multitasking']",manager it/software development it operations management team leadership network administration it security communication negotiation multitasking,it/software development operations management team leadership network administration security communication negotiation multitasking,"['it operations management', 'team leadership', 'network administration', 'it security', 'communication', 'negotiation', 'multitasking']",it operations management team leadership network administration it security communication negotiation multitasking
Network Engineer,Injaz Tech for advanced systems ,"Nasr City, Cairo, Egypt",Full Time,On-site,1 day ago,Experienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Network Design · Network Troubleshooting · Cisco · CCNA · Software Development · Computer Scienc,https://wuzzuf.net/jobs/p/6udo0ppflpau-network-engineer-injaz-tech-for-advanced-systems-cairo-egypt,Backend,"['experienced', 'installation/maintenance/repair', 'it/software development', 'network design', 'network troubleshooting', 'cisco', 'ccna', 'computer scienc']",experienced installation/maintenance/repair it/software development network design network troubleshooting cisco ccna computer scienc,it/software development network design troubleshooting cisco ccna computer scienc,"['network design', 'network troubleshooting', 'cisco', 'ccna', 'computer scienc']",network design network troubleshooting cisco ccna computer scienc
UI/UX Web Designer,Nile Creations ,"Heliopolis, Cairo, Egypt",Full Time,On-site,1 day ago,Experienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Adobe Photoshop · Adobe Illustrator · Adobe Indesign · Graphic Designer · WordPress · VC · UI Desig,https://wuzzuf.net/jobs/p/r4fvrr8kkkr7-uiux-web-designer-nile-creations-cairo-egypt,UI/UX,"['experienced', 'creative/design/art', 'it/software development', 'adobe photoshop', 'adobe illustrator', 'adobe indesign', 'graphic designer', 'wordpress', 'vc', 'ui desig']",experienced creative/design/art it/software development adobe photoshop adobe illustrator adobe indesign graphic designer wordpress vc ui desig,creative/design/art it/software development adobe photoshop illustrator indesign graphic designer wordpress vc ui desig,"['creative/design/art', 'adobe photoshop', 'adobe illustrator', 'adobe indesign', 'graphic designer', 'wordpress', 'vc', 'ui desig']",creative/design/art adobe photoshop adobe illustrator adobe indesign graphic designer wordpress vc ui desig
Technical Support,Confidential ,"Cairo, Egypt",Full Time,On-site,2 days ago,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Technical Support · ITMS,https://wuzzuf.net/jobs/p/o474e0gps5km-technical-support-cairo-egypt,Quality Control,"['experienced', 'it/software development', 'technical support', 'itms']",experienced it/software development technical support itms,it/software development technical support itms,"['technical support', 'itms']",technical support itms
Junior WordPress Developer,TAG-Marketing Consulting LLC ,"Maadi, Cairo, Egypt",Full Time,On-site,2 days ago,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · WordPress · WordPress CMS · HTML · CSS · PHP · JavaScript · Plugin Integration · fegma · elementor,https://wuzzuf.net/jobs/p/x4p1wbeop68m-junior-wordpress-developer-tag-marketing-consulting-llc-cairo-egypt,Full Stack,"['entry level', 'it/software development', 'wordpress', 'wordpress cms', 'html', 'css', 'php', 'javascript', 'plugin integration', 'fegma', 'elementor']",entry level it/software development wordpress wordpress cms html css php javascript plugin integration fegma elementor,entry level it/software development wordpress cms html css php javascript plugin integration fegma elementor,"['wordpress', 'wordpress cms', 'html', 'css', 'php', 'javascript', 'plugin integration', 'fegma', 'elementor']",wordpress wordpress cms html css php javascript plugin integration fegma elementor
Senior Front-End Developer (Angular),ISFP ,"Smouha, Alexandria, Egypt",Part Time,Remote,2 days ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · Bootstrap · Computer Science · Information Technology (IT) · Web Development · CSS · Design,https://wuzzuf.net/jobs/p/7hbh0e1xjrsd-senior-front-end-developer-angular-isfp-alexandria-egypt,Frontend,"['experienced', 'it/software development', 'agile', 'angular', 'bootstrap', 'computer science', 'web development', 'css', 'design']",experienced it/software development agile angular bootstrap computer science web development css design,it/software development agile angular bootstrap computer science web css design,"['agile', 'angular', 'bootstrap', 'computer science', 'web development', 'css', 'design']",agile angular bootstrap computer science web development css design
Sr. UI/UX Designer,Ashtar Tech       ,"Maadi, Cairo, Egypt",Full Time,Hybrid,2 days ago,Experienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · UX Design · UI Design · Prototyping · Wireframing · Design Systems · Interaction Design · User Research · Collaboration,https://wuzzuf.net/jobs/p/oqpqt84ntyr3-sr-uiux-designer-ashtar-tech-cairo-egypt,UI/UX,"['experienced', 'creative/design/art', 'it/software development', 'ux design', 'ui design', 'prototyping', 'wireframing', 'design systems', 'interaction design', 'user research', 'collaboration']",experienced creative/design/art it/software development ux design ui design prototyping wireframing design systems interaction design user research collaboration,creative/design/art it/software development ux design ui prototyping wireframing systems interaction user research collaboration,"['creative/design/art', 'ux design', 'ui design', 'prototyping', 'wireframing', 'design systems', 'interaction design', 'user research', 'collaboration']",creative/design/art ux design ui design prototyping wireframing design systems interaction design user research collaboration
